entrezid,degree,degree_rs,pagerank_rs,eigenvector_rs,closeness_rs,betweenness_rs
1,12,0.000751456,4.27E-05,0.00132321,0.340908402,0.000137975
310,120,0.007514559,0.000243487,0.012551615,0.422913422,0.000412525
368,5,0.000313107,2.42E-05,0.000180022,0.305712979,5.17E-07
1026,229,0.014340284,0.000432522,0.02436868,0.441120331,0.000873147
2886,49,0.003068445,0.000101901,0.004380527,0.350713941,3.73E-05
3958,74,0.004633978,0.000178048,0.006253419,0.373233294,0.000410304
4899,2356,0.147535851,0.007500429,0.090207073,0.485073076,0.061063523
6606,218,0.01365145,0.000397004,0.022798884,0.425798963,0.000619538
6622,177,0.011083975,0.000335766,0.02085438,0.435520881,0.000483947
7083,169,0.010583005,0.000367718,0.013213313,0.428017983,0.000854724
10321,1,6.26E-05,1.25E-05,8.27E-06,0.254001506,0
10549,57,0.003569416,0.000134371,0.010850163,0.41644689,0.000494597
80854,34,0.002129125,6.83E-05,0.006013769,0.409984171,2.05E-05
2,136,0.008516501,0.000337248,0.00759002,0.373514727,0.000982653
60,369,0.02310727,0.000666702,0.05061141,0.458114447,0.002166432
250,25,0.001565533,6.26E-05,0.005128354,0.410291919,6.06E-05
259,17,0.001064563,4.54E-05,0.001568597,0.337274309,1.03E-05
292,155,0.009706306,0.000257936,0.031879997,0.433389419,0.000264134
293,109,0.006825725,0.000195904,0.019536169,0.435736379,0.000274085
309,34,0.002129125,7.47E-05,0.005133341,0.411655794,3.32E-05
347,17,0.001064563,4.42E-05,0.002713448,0.343762182,1.53E-05
348,64,0.004007765,0.000160623,0.005686538,0.420311775,0.000494323
351,1969,0.123301396,0.006062382,0.078868431,0.484850518,0.05935007
354,15,0.00093932,4.48E-05,0.001010015,0.329020445,1.09E-05
412,2,0.000125243,1.31E-05,0.000208257,0.308906302,3.67E-08
427,9,0.000563592,2.73E-05,0.003053316,0.405692516,8.48E-06
476,68,0.00425825,0.000136658,0.012394235,0.421653446,0.00022485
498,120,0.007514559,0.000205315,0.025158469,0.435461058,0.000131542
506,117,0.007326695,0.000209453,0.020538126,0.426062197,0.000187815
523,115,0.007201453,0.00023463,0.010887035,0.418690879,0.000291375
526,83,0.00519757,0.000153762,0.010016212,0.41600971,6.93E-05
566,5,0.000313107,1.98E-05,0.000292012,0.311039951,7.66E-07
567,32,0.002003883,9.07E-05,0.003598072,0.408115808,0.000105122
827,3,0.000187864,1.52E-05,0.000225689,0.308828063,2.05E-07
950,18,0.001127184,4.30E-05,0.004293722,0.413287219,9.14E-06
998,211,0.0132131,0.000452286,0.01645975,0.434696777,0.001182908
1022,121,0.007577181,0.000220636,0.014912537,0.429316342,0.000195142
1080,246,0.015404847,0.000532494,0.019920769,0.389761685,0.001373995
1200,17,0.001064563,4.99E-05,0.004347927,0.409422926,0.000102426
1361,8,0.000500971,3.36E-05,0.002745846,0.404264677,6.38E-05
1508,51,0.003193688,0.00012548,0.005176523,0.419566384,0.000390392
1510,7,0.000438349,2.61E-05,0.000188136,0.307587573,3.57E-06
1511,32,0.002003883,8.34E-05,0.001268795,0.332806021,4.61E-05
1558,15,0.00093932,3.74E-05,0.001222679,0.325346729,2.14E-06
1562,5,0.000313107,1.95E-05,0.000209967,0.310540279,1.44E-07
1583,6,0.000375728,2.98E-05,0.00051901,0.317825279,0.000106481
1588,3,0.000187864,1.53E-05,0.000322373,0.317316291,3.54E-07
1650,61,0.003819901,0.000115974,0.008819612,0.41269541,4.62E-05
1743,37,0.002316989,7.43E-05,0.006322692,0.411826916,1.25E-05
1990,6,0.000375728,2.50E-05,0.000108523,0.30287987,1.78E-06
1995,11,0.000688835,3.06E-05,0.003372088,0.406181114,3.93E-06
2026,51,0.003193688,0.000116912,0.009221586,0.41470366,0.000160882
2193,35,0.002191747,7.02E-05,0.008525476,0.412867397,2.89E-05
2597,217,0.013588828,0.000382685,0.034016297,0.445471657,0.000746846
2629,36,0.002254368,7.46E-05,0.005680477,0.409878157,1.57E-05
2639,21,0.001315048,4.83E-05,0.004592938,0.410791665,8.45E-06
2669,42,0.002630096,0.000105173,0.001930152,0.342373709,0.000221207
2720,14,0.000876699,3.71E-05,0.004011329,0.413664709,7.24E-06
2885,923,0.057799487,0.001932176,0.068197937,0.464722448,0.011846639
2990,8,0.000500971,2.78E-05,0.002870242,0.405298338,3.37E-05
3014,233,0.01459077,0.000424355,0.027833426,0.431513529,0.000522192
3163,41,0.002567474,9.06E-05,0.005228426,0.417466895,7.05E-05
3309,367,0.022982028,0.000658456,0.048696789,0.420211494,0.001687479
3329,214,0.013400964,0.000384394,0.034225968,0.452181372,0.00087074
3337,73,0.004571357,0.00014178,0.010918287,0.424567242,9.08E-05
3437,62,0.003882522,0.000124407,0.006826024,0.357669976,0.000238077
3553,18,0.001127184,6.50E-05,0.001019241,0.328080679,0.000266019
3565,8,0.000500971,2.93E-05,0.000169065,0.305459657,1.19E-06
3586,6,0.000375728,2.68E-05,0.000126826,0.302440671,8.50E-07
3817,16,0.001001941,4.65E-05,0.001675994,0.344989183,3.79E-05
3931,5,0.000313107,2.15E-05,0.000190027,0.308719797,5.14E-07
3952,10,0.000626213,4.02E-05,0.000355875,0.316587469,1.53E-05
3964,27,0.001690776,6.79E-05,0.00454898,0.40960278,0.000106126
4035,82,0.005134949,0.000207002,0.007122033,0.426245509,0.000803162
4069,31,0.001941261,6.53E-05,0.006686931,0.412351864,5.10E-05
4128,6,0.000375728,2.06E-05,0.002546217,0.403113219,1.10E-06
4313,45,0.00281796,0.000139571,0.00195162,0.340695912,0.000205663
4353,7,0.000438349,2.69E-05,0.000247296,0.308822046,2.76E-06
4653,46,0.002880581,0.000112561,0.003635751,0.342284992,0.00017686
4803,9,0.000563592,2.88E-05,0.000225525,0.311259828,1.56E-06
4846,65,0.004070386,0.000134816,0.008022446,0.426050745,0.000108603
5047,19,0.001189805,4.62E-05,0.002159493,0.348945934,1.88E-05
5154,19,0.001189805,5.17E-05,0.000493252,0.317214689,4.38E-06
5155,24,0.001502912,7.21E-05,0.000764581,0.32437469,0.00014119
5309,76,0.004759221,0.000243127,0.002396098,0.334350397,0.000685828
5597,187,0.011710188,0.000431424,0.012940799,0.422778065,0.001079866
5657,15,0.00093932,4.75E-05,0.000723796,0.32513985,9.63E-06
5864,29,0.001816019,7.59E-05,0.001483711,0.344719092,4.82E-05
5886,149,0.009330578,0.000271659,0.014363834,0.422721691,0.000171821
5908,55,0.003444173,0.000115317,0.007098528,0.420970361,0.000113972
6009,31,0.001941261,6.90E-05,0.004022573,0.408526017,1.23E-05
6462,65,0.004070386,0.000188918,0.003946254,0.359968616,0.000550291
6468,44,0.002755338,8.31E-05,0.007274631,0.409412351,1.39E-05
7001,74,0.004633978,0.000144521,0.013890498,0.425604607,0.00017608
7045,11,0.000688835,3.55E-05,0.000690609,0.319832489,3.58E-06
7050,32,0.002003883,6.88E-05,0.005327532,0.385956123,3.53E-05
7052,104,0.006512618,0.000207547,0.013086165,0.429502465,0.000357753
7276,55,0.003444173,0.000120793,0.003361658,0.347690677,8.15E-05
7301,36,0.002254368,8.07E-05,0.005707953,0.417510878,0.000143183
7353,60,0.00375728,0.000121143,0.006943503,0.412362591,7.43E-05
7372,23,0.001440291,5.29E-05,0.004935897,0.408283999,2.13E-05
7416,99,0.006199512,0.000186053,0.012629919,0.419599703,0.000136156
8626,130,0.008140773,0.000258524,0.016355285,0.425113793,0.000530807
8728,9,0.000563592,2.90E-05,0.002462167,0.403226018,1.01E-05
8764,80,0.005009706,0.000171755,0.006923106,0.370936232,0.000291291
8848,165,0.010332519,0.000326363,0.013262471,0.419510864,0.000478611
9114,26,0.001628155,5.62E-05,0.005121066,0.414606036,1.30E-05
9361,43,0.002692717,8.47E-05,0.008559085,0.421350824,4.06E-05
9510,7,0.000438349,3.10E-05,0.002297953,0.40287757,6.70E-05
10053,27,0.001690776,6.43E-05,0.003919772,0.414551821,2.10E-05
10263,21,0.001315048,4.94E-05,0.0028504,0.364153047,2.19E-05
10376,110,0.006888346,0.000199449,0.018571478,0.433010571,0.000298032
10724,30,0.00187864,6.40E-05,0.006095418,0.41908939,2.83E-05
10944,1,6.26E-05,1.15E-05,4.74E-05,0.271671517,0
11051,124,0.007765045,0.000220769,0.019690924,0.424977023,0.000204891
11102,25,0.001565533,5.71E-05,0.004227522,0.413988821,3.44E-05
11140,280,0.017533972,0.000572166,0.027168373,0.439274435,0.001619871
11173,2,0.000125243,1.59E-05,5.05E-05,0.272620012,2.50E-07
22976,253,0.015843196,0.00053309,0.01916184,0.401113872,0.001421826
22983,47,0.002943202,0.000108085,0.005996708,0.41867982,0.000186301
23154,22,0.001377669,5.25E-05,0.004073268,0.408410234,1.78E-05
23176,17,0.001064563,3.95E-05,0.002952384,0.403986492,7.93E-06
24138,20,0.001252427,4.84E-05,0.004421675,0.415138098,1.75E-05
26085,3,0.000187864,1.65E-05,9.31E-05,0.300166982,8.97E-08
26270,589,0.036883963,0.001304967,0.048791199,0.438399701,0.004484377
51013,55,0.003444173,0.000108585,0.007896232,0.426027844,8.45E-05
51295,77,0.004821842,0.000172917,0.00554682,0.377643731,0.000176837
54850,23,0.001440291,5.72E-05,0.004656891,0.409719241,8.05E-05
55207,13,0.000814077,3.88E-05,0.003865967,0.415464524,2.07E-05
55729,80,0.005009706,0.000187589,0.007821152,0.420233775,0.000378127
56729,4,0.000250485,1.81E-05,0.000170661,0.306499178,3.94E-08
57559,34,0.002129125,8.03E-05,0.004392614,0.410621402,0.00016664
64223,30,0.00187864,6.23E-05,0.004973135,0.414823039,3.41E-05
81792,5,0.000313107,2.20E-05,0.000200994,0.310011891,2.32E-06
84106,25,0.001565533,5.62E-05,0.00242601,0.354835646,1.71E-05
93185,165,0.010332519,0.000272849,0.024280449,0.419655247,0.000194778
112398,26,0.001628155,5.82E-05,0.002788777,0.358990329,2.43E-05
115704,6,0.000375728,2.13E-05,0.000340065,0.315384361,1.05E-06
124912,4,0.000250485,1.93E-05,0.002361319,0.402672882,1.39E-06
126003,11,0.000688835,3.75E-05,0.00290725,0.410323781,2.84E-05
126074,7,0.000438349,2.51E-05,0.000246127,0.307122723,6.52E-07
140545,43,0.002692717,9.50E-05,0.002983984,0.365378558,5.14E-05
204851,40,0.002504853,8.33E-05,0.006396103,0.413524418,5.76E-05
548596,23,0.001440291,4.66E-05,0.006282036,0.410037198,8.59E-06
728642,36,0.002254368,8.87E-05,0.007324276,0.413891534,0.000166491
9,4,0.000250485,1.96E-05,0.002499616,0.402396882,8.64E-08
7316,8799,0.551005072,0.026387605,0.347437908,0.671263572,0.546350326
8260,45,0.00281796,9.26E-05,0.005439596,0.4188015,5.91E-05
113000,5,0.000313107,2.43E-05,0.002778628,0.408884308,1.32E-05
120892,454,0.028430083,0.00089247,0.044149689,0.439371843,0.00233623
10,18,0.001127184,4.17E-05,0.001749107,0.344284833,6.58E-06
324,196,0.01227378,0.000407838,0.0174241,0.432774128,0.001101943
472,209,0.013087858,0.000389489,0.02222944,0.437226733,0.000718476
999,159,0.009956791,0.000305709,0.015664469,0.426738942,0.000460077
1029,181,0.011334461,0.000333656,0.019739602,0.387569818,0.000365283
1031,37,0.002316989,7.99E-05,0.005047564,0.4108662,6.88E-05
2064,277,0.017346108,0.00056992,0.02188576,0.433448673,0.001433239
3161,31,0.001941261,6.62E-05,0.006390027,0.41717025,5.55E-05
3480,101,0.006324754,0.000218432,0.013171492,0.429980143,0.000639623
4683,76,0.004759221,0.000132318,0.011713717,0.416293773,3.89E-05
5888,119,0.007451938,0.000242763,0.012216744,0.421406832,0.000537888
6790,185,0.011584946,0.000344413,0.019603374,0.440372774,0.000673857
6794,135,0.008453879,0.000273199,0.009830637,0.367965504,0.000304817
7490,35,0.002191747,7.63E-05,0.003130605,0.347614429,3.52E-05
8493,25,0.001565533,5.84E-05,0.005137288,0.415018537,5.52E-05
9530,72,0.004508736,0.000150492,0.01057524,0.421171697,0.000258931
79728,36,0.002254368,8.11E-05,0.001766536,0.331990491,1.83E-05
12,32,0.002003883,9.78E-05,0.001468895,0.343747273,0.000144296
125,6,0.000375728,2.05E-05,0.000647353,0.321284593,6.91E-07
525,79,0.004947085,0.000170239,0.004140032,0.349007398,5.91E-05
1215,8,0.000500971,3.54E-05,0.000135638,0.306256385,3.84E-06
1504,4,0.000250485,1.93E-05,6.13E-05,0.296411878,1.72E-07
1506,2,0.000125243,1.37E-05,7.10E-05,0.299175547,2.74E-08
1991,34,0.002129125,9.30E-05,0.000832906,0.323276528,4.10E-05
2153,13,0.000814077,4.00E-05,0.000565496,0.322874852,7.40E-06
