id	entrezid	symbol
1	1	A1BG
2	2	A2M
3	3	A2MP1
4	9	NAT1
5	10	NAT2
6	11	NATP
7	12	SERPINA3
8	13	AADAC
9	14	AAMP
10	15	AANAT
11	16	AARS1
12	17	AAVS1
13	18	ABAT
14	19	ABCA1
15	20	ABCA2
16	21	ABCA3
17	22	ABCB7
18	23	ABCF1
19	24	ABCA4
20	25	ABL1
21	26	AOC1
22	27	ABL2
23	28	ABO
24	29	ABR
25	30	ACAA1
26	31	ACACA
27	32	ACACB
28	33	ACADL
29	34	ACADM
30	35	ACADS
31	36	ACADSB
32	37	ACADVL
33	38	ACAT1
34	39	ACAT2
35	40	ASIC2
36	41	ASIC1
37	43	ACHE
38	46	ACLS
39	47	ACLY
40	48	ACO1
41	49	ACR
42	50	ACO2
43	51	ACOX1
44	52	ACP1
45	53	ACP2
46	54	ACP5
47	55	ACP3
48	56	ACRV1
49	58	ACTA1
50	59	ACTA2
51	60	ACTB
52	62	ACTBP2
53	63	ACTBP3
54	64	ACTBP4
55	66	ACTBP6
56	67	ACTBP7
57	68	ACTBP8
58	69	ACTBP9
59	70	ACTC1
60	71	ACTG1
61	72	ACTG2
62	73	ACTG1P1
63	74	ACTG1P2
64	75	ACTG1P3
65	78	ACTG1P6
66	79	ACTG1P7
67	80	ACTG1P8
68	81	ACTN4
69	82	ACTG1P9
70	83	ACTG1P10
71	86	ACTL6A
72	87	ACTN1
73	88	ACTN2
74	89	ACTN3
75	90	ACVR1
76	91	ACVR1B
77	92	ACVR2A
78	93	ACVR2B
79	94	ACVRL1
80	95	ACY1
81	97	ACYP1
82	98	ACYP2
83	100	ADA
84	101	ADAM8
85	102	ADAM10
86	103	ADAR
87	104	ADARB1
88	105	ADARB2
89	106	ADCP1
90	107	ADCY1
91	108	ADCY2
92	109	ADCY3
93	111	ADCY5
94	112	ADCY6
95	113	ADCY7
96	114	ADCY8
97	115	ADCY9
98	116	ADCYAP1
99	117	ADCYAP1R1
100	118	ADD1
101	119	ADD2
102	120	ADD3
103	122	ADFN
104	123	PLIN2
105	124	ADH1A
106	125	ADH1B
107	126	ADH1C
108	127	ADH4
109	128	ADH5
110	130	ADH6
111	131	ADH7
112	132	ADK
113	133	ADM
114	134	ADORA1
115	135	ADORA2A
116	136	ADORA2B
117	137	ADORA2BP1
118	140	ADORA3
119	141	ADPRH
120	142	PARP1
121	143	PARP4
122	144	PARP1P1
123	145	PARP1P2
124	146	ADRA1D
125	147	ADRA1B
126	148	ADRA1A
127	150	ADRA2A
128	151	ADRA2B
129	152	ADRA2C
130	153	ADRB1
131	154	ADRB2
132	155	ADRB3
133	156	GRK2
134	157	GRK3
135	158	ADSL
136	159	ADSS2
137	160	AP2A1
138	161	AP2A2
139	162	AP1B1
140	163	AP2B1
141	164	AP1G1
142	165	AEBP1
143	166	TLE5
144	167	CRISP1
145	169	AF8T
146	170	AFA
147	171	AFD1
148	172	AFG3L1P
149	173	AFM
150	174	AFP
151	175	AGA
152	176	ACAN
153	177	AGER
154	178	AGL
155	179	AGMX2
156	181	AGRP
157	182	JAG1
158	183	AGT
159	185	AGTR1
160	186	AGTR2
161	187	APLNR
162	189	AGXT
163	190	NR0B1
164	191	AHCY
165	192	AIC
166	196	AHR
167	197	AHSG
168	199	AIF1
169	201	AIH3
170	202	CRYBG1
171	203	AK1
172	204	AK2
173	205	AK4
174	206	AK4P1
175	207	AKT1
176	208	AKT2
177	210	ALAD
178	211	ALAS1
179	212	ALAS2
180	213	ALB
181	214	ALCAM
182	215	ABCD1
183	216	ALDH1A1
184	217	ALDH2
185	218	ALDH3A1
186	219	ALDH1B1
187	220	ALDH1A3
188	221	ALDH3B1
189	222	ALDH3B2
190	223	ALDH9A1
191	224	ALDH3A2
192	225	ABCD2
193	226	ALDOA
194	228	ALDOAP2
195	229	ALDOB
196	230	ALDOC
197	231	AKR1B1
198	236	AKR1B1P2
199	238	ALK
200	239	ALOX12
201	240	ALOX5
202	241	ALOX5AP
203	242	ALOX12B
204	243	ALOX12P1
205	245	ALOX12P2
206	246	ALOX15
207	247	ALOX15B
208	248	ALPI
209	249	ALPL
210	250	ALPP
211	251	ALPG
212	253	ALS3
213	257	ALX3
214	258	AMBN
215	259	AMBP
216	261	AMCN
217	262	AMD1
218	263	AMD1P2
219	265	AMELX
220	266	AMELY
221	267	AMFR
222	268	AMH
223	269	AMHR2
224	270	AMPD1
225	271	AMPD2
226	272	AMPD3
227	273	AMPH
228	274	BIN1
229	275	AMT
230	276	AMY1A
231	277	AMY1B
232	278	AMY1C
233	279	AMY2A
234	280	AMY2B
235	281	AMYP1
236	282	ANCR
237	283	ANG
238	284	ANGPT1
239	285	ANGPT2
240	286	ANK1
241	287	ANK2
242	288	ANK3
243	289	ANOP1
244	290	ANPEP
245	291	SLC25A4
246	292	SLC25A5
247	293	SLC25A6
248	301	ANXA1
249	302	ANXA2
250	303	ANXA2P1
251	304	ANXA2P2
252	305	ANXA2P3
253	306	ANXA3
254	307	ANXA4
255	308	ANXA5
256	309	ANXA6
257	310	ANXA7
258	311	ANXA11
259	312	ANXA13
260	313	AOAH
261	314	AOC2
262	316	AOX1
263	317	APAF1
264	318	NUDT2
265	319	APOF
266	320	APBA1
267	321	APBA2
268	322	APBB1
269	323	APBB2
270	324	APC
271	325	APCS
272	326	AIRE
273	327	APEH
274	328	APEX1
275	329	BIRC2
276	330	BIRC3
277	331	XIAP
278	332	BIRC5
279	333	APLP1
280	334	APLP2
281	335	APOA1
282	336	APOA2
283	337	APOA4
284	338	APOB
285	339	APOBEC1
286	341	APOC1
287	342	APOC1P1
288	343	AQP8
289	344	APOC2
290	345	APOC3
291	346	APOC4
292	347	APOD
293	348	APOE
294	350	APOH
295	351	APP
296	353	APRT
297	354	KLK3
298	355	FAS
299	356	FASLG
300	357	SHROOM2
301	358	AQP1
302	359	AQP2
303	360	AQP3
304	361	AQP4
305	362	AQP5
306	363	AQP6
307	364	AQP7
308	366	AQP9
309	367	AR
310	368	ABCC6
311	369	ARAF
312	372	ARCN1
313	373	TRIM23
314	374	AREG
315	375	ARF1
316	377	ARF3
317	378	ARF4
318	379	ARL4D
319	380	ARF4P1
320	381	ARF5
321	382	ARF6
322	383	ARG1
323	384	ARG2
324	387	RHOA
325	388	RHOB
326	389	RHOC
327	390	RND3
328	391	RHOG
329	392	ARHGAP1
330	393	ARHGAP4
331	394	ARHGAP5
332	395	ARHGAP6
333	396	ARHGDIA
334	397	ARHGDIB
335	398	ARHGDIG
336	399	RHOH
337	400	ARL1
338	401	PHOX2A
339	402	ARL2
340	403	ARL3
341	405	ARNT
342	406	BMAL1
343	407	ARR3
344	408	ARRB1
345	409	ARRB2
346	410	ARSA
347	411	ARSB
348	412	STS
349	413	ARSC2
350	414	ARSD
351	415	ARSL
352	416	ARSF
353	417	ART1
354	418	ART2P
355	419	ART3
356	420	ART4
357	421	ARVCF
358	424	ARVD3
359	425	ARVD4
360	427	ASAH1
361	429	ASCL1
362	430	ASCL2
363	431	ASD1
364	432	ASGR1
365	433	ASGR2
366	434	ASIP
367	435	ASL
368	436	ASLP1
369	438	ASMT
370	439	GET3
371	440	ASNS
372	442	ASNSP2
373	443	ASPA
374	444	ASPH
375	445	ASS1
376	447	ASS1P2
377	449	ASS1P4
378	450	ASS1P5
379	451	ASS1P6
380	453	ASS1P8
381	454	ASS1P9
382	455	ASS1P10
383	459	ASS1P14
384	460	ASTN1
385	462	SERPINC1
386	463	ZFHX3
387	465	ATD
388	466	ATF1
389	467	ATF3
390	468	ATF4
391	469	ATF4P1
392	470	ATHS
393	471	ATIC
394	472	ATM
395	473	RERE
396	474	ATOH1
397	475	ATOX1
398	476	ATP1A1
399	477	ATP1A2
400	478	ATP1A3
401	479	ATP12A
402	480	ATP1A4
403	481	ATP1B1
404	482	ATP1B2
405	483	ATP1B3
406	484	ATP1B3P1
407	485	ATP1B1P1
408	486	FXYD2
409	487	ATP2A1
410	488	ATP2A2
411	489	ATP2A3
412	490	ATP2B1
413	491	ATP2B2
414	492	ATP2B3
415	493	ATP2B4
416	495	ATP4A
417	496	ATP4B
418	498	ATP5F1A
419	501	ALDH7A1
420	504	ATP5F1AP2
421	506	ATP5F1B
422	507	ATP5F1BP1
423	509	ATP5F1C
424	513	ATP5F1D
425	514	ATP5F1E
426	515	ATP5PB
427	516	ATP5MC1
428	517	ATP5MC2
429	518	ATP5MC3
430	520	ATP5MC2P1
431	521	ATP5ME
432	522	ATP5PF
433	523	ATP6V1A
434	525	ATP6V1B1
435	526	ATP6V1B2
436	527	ATP6V0C
437	528	ATP6V1C1
438	529	ATP6V1E1
439	533	ATP6V0B
440	534	ATP6V1G2
441	535	ATP6V0A1
442	537	ATP6AP1
443	538	ATP7A
444	539	ATP5PO
445	540	ATP7B
446	541	ALDH7A1P1
447	542	ALDH7A1P2
448	543	ALDH7A1P3
449	544	ALDH7A1P4
450	545	ATR
451	546	ATRX
452	547	KIF1A
453	549	AUH
454	550	AUP1
455	551	AVP
456	552	AVPR1A
457	553	AVPR1B
458	554	AVPR2
459	558	AXL
460	560	AZF1
461	563	AZGP1
462	566	AZU1
463	567	B2M
464	568	B2MR
465	570	BAAT
466	571	BACH1
467	572	BAD
468	573	BAG1
469	574	BAGE
470	575	ADGRB1
471	576	ADGRB2
472	577	ADGRB3
473	578	BAK1
474	579	NKX3-2
475	580	BARD1
476	581	BAX
477	582	BBS1
478	583	BBS2
479	585	BBS4
480	586	BCAT1
481	587	BCAT2
482	590	BCHE
483	593	BCKDHA
484	594	BCKDHB
485	595	CCND1
486	596	BCL2
487	597	BCL2A1
488	598	BCL2L1
489	599	BCL2L2
