herb_cn_name	herb_pinyin	herb_en_name
白芷	Baizhi	A. Dahurica (Fisch.) Benth. Et Hook
苍耳子	Cangerzi	Xanthii Fructus
葱白	Congbai	Allii Fistulost Bulbus
鹅不食草	Ebushicao	Centipedae Herba
防风	Fangfeng	Saposhnikoviae Radix
藁本	Gaoben	Ligustici Rhizoma Et Radix
桂枝	Guizhi	Cinnamomi Ramulus
荆芥	Jingjie	Schizonepetae Herba
荆芥穗	Jingjiesui	Schizonepetae Spica
零陵香	Linglingxiang	Lysimachiae Foenigraeci Herba
麻黄	Mahuang	Ephedra Herba
羌活	Qianghuo	Notopterygii Rhizoma Et Radix
生姜	Shengjiang	Zingiber Officinale Roscoe
西河柳	Xiheliu	Tamaricis Cacumen
细辛	Xixin	Asari Radix Et Rhizoma
香薷	Xiangru	Moslae Herba
辛夷	Xinyi	Magnoliae Flos
芫荽	Yuansui	Coriandri Sativi Herba
紫苏	Zisu	Perilla Frutescens
葛根	Gegen	Radix Puerariae
薄荷	Bohe	Menthae Herba
柴胡	Chaihu	Radix Bupleuri
蝉蜕	Chantui	Cicadae Periostracum
淡豆豉	Dandouchi	Sojae Semen Praeparatum
浮萍	Fuping	Spirodelae Herba
葛花	Gehua	Puerariae Flos
菊花	Juhua	Chrysanthemi Flos
蔓荆子	Manjingzi	Viticis Fructus
牡荆叶	Mujingye	Viticis Negundo Folium
木贼	Muzei	Equiseti Hiemalis Herba
牛蒡子	Niubangzi	Fructus Arctii
蕤仁	Ruiren	Prinsepiae Nux
桑叶	Sangye	Mori Follum
升麻	Shengma	Cimicifugae Rhizoma
一枝黄花	Yizhihuanghua	Solidaginis Herba
谷精草	Gujingcao	Eriocauli Flos
决明子	Juemingzi	Cassiae Semen
苦丁茶	Kudingcha	Ilicis Cornutae Folium Immayuri
芦根	Lugen	Phragmitis Rhizoma
密蒙花	Mimenghua	Buddlejae Flos
青葙子	Qingxiangzi	Celosiae Semen
天花粉	Tianhuafen	Trichosanthis Radix
夏枯草	Xiakucao	Prunellae Spica
鸭跖草	Yazhicao	Commelinae Herba
知母	Zhimu	Anemarrhenae Rhizoma
栀子	Zhizi	Gardeniae Fructus
白鲜皮	Baixianpi	Dictamni Cortex
椿皮	Chunpi	Ailanthi Cortex
关黄柏	Guanhuangbo	Phellodendri Amurensis Cortex
黄柏	Huangbo	Phellodendri Chinrnsis Cortex
黄连	Huanglian	Coptidis Rhizoma
黄芩	Huangqin	Scutellariae Radix
苦参	Kushen	Sophorae Flavescentis Radix
龙胆	Longdan	Gentianae Radix Et Rhozima
马尾莲	Maweilian	Thalictri Glandulosissimi Et
秦皮	Qinpi	Fraxini Cortex
八角莲	Bajiaolian	Dysosmae Verspiellis Rhixoma Et Radix
白花蛇舌草	Baihuasheshecao	Hedyotis Diffusae Herba
白蔹	Bailian	Ampelopsis Japonica
白毛藤	Baimaoteng	Herba Solani Lyrati
白毛夏枯草	Baimaoxiakucao	Ajugae Decumbentis Herba
白头翁	Baitouweng	Pulsatilliae Radix
白药子	Baiyaozi	Radix Stephaniae Cepharanthae.
