TARGET_ID,disease_id,03_Info_Molecules_ID,MOL_ID,molecule_name,ob,mw,alogp,caco2,bbb,hdon,hacc,drug-likeness,inchikey,PubChem_Cid,halflife,RBN,TPSA,FASA-,04_Info_Targets_ID,TAR_ID,drugbank_ID,target_name,34_Molecules_Targets_Relationships_ID,MOL ID
TAR00003,DIS00442,2,MOL000002,cyanidol,1.3646428372,287.260,1.666,0.16978,-0.51200,5,6,0.24431,GFZJRQMBETXFQO-UHFFFAOYSA-N,Not Available,,1,114.29,0.34187388,3,TAR00003,7,"Nitric oxide synthase, inducible",1,MOL000002
TAR00491,DIS00353,2,MOL000002,cyanidol,1.3646428372,287.260,1.666,0.16978,-0.51200,5,6,0.24431,GFZJRQMBETXFQO-UHFFFAOYSA-N,Not Available,,1,114.29,0.34187388,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",15,MOL000002
TAR00078,DIS00443,2,MOL000002,cyanidol,1.3646428372,287.260,1.666,0.16978,-0.51200,5,6,0.24431,GFZJRQMBETXFQO-UHFFFAOYSA-N,Not Available,,1,114.29,0.34187388,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,5,MOL000002
TAR00491,DIS00353,4,MOL000004,Procyanidin B1,67.873461738,578.560,3.362,-0.98412,-1.96821,10,12,0.65629,XFZJEEAOWLFHDH-UKWJTHFESA-N,11250133,3.300768,3,220.76,0.31987154,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",42,MOL000004
TAR00003,DIS00442,4,MOL000004,Procyanidin B1,67.873461738,578.560,3.362,-0.98412,-1.96821,10,12,0.65629,XFZJEEAOWLFHDH-UKWJTHFESA-N,11250133,3.300768,3,220.76,0.31987154,3,TAR00003,7,"Nitric oxide synthase, inducible",23,MOL000004
TAR00078,DIS00443,4,MOL000004,Procyanidin B1,67.873461738,578.560,3.362,-0.98412,-1.96821,10,12,0.65629,XFZJEEAOWLFHDH-UKWJTHFESA-N,11250133,3.300768,3,220.76,0.31987154,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,29,MOL000004
TAR00078,DIS00443,6,MOL000006,luteolin,36.1626293429,286.250,2.067,0.18500,-0.84349,4,6,0.24552,IQPNAANSBPBGFQ-UHFFFAOYSA-N,5280445,15.944492,1,111.13,0.39326519,76,TAR00078,238,Peroxisome proliferator activated receptor gamma,79,MOL000006
TAR00491,DIS00353,6,MOL000006,luteolin,36.1626293429,286.250,2.067,0.18500,-0.84349,4,6,0.24552,IQPNAANSBPBGFQ-UHFFFAOYSA-N,5280445,15.944492,1,111.13,0.39326519,477,TAR00491,2404,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",87,MOL000006
TAR00003,DIS00442,6,MOL000006,luteolin,36.1626293429,286.250,2.067,0.18500,-0.84349,4,6,0.24552,IQPNAANSBPBGFQ-UHFFFAOYSA-N,5280445,15.944492,1,111.13,0.39326519,3,TAR00003,7,"Nitric oxide synthase, inducible",52,MOL000006
TAR00265,DIS00203,6,MOL000006,luteolin,36.1626293429,286.250,2.067,0.18500,-0.84349,4,6,0.24552,IQPNAANSBPBGFQ-UHFFFAOYSA-N,5280445,15.944492,1,111.13,0.39326519,253,TAR00265,777,Tumor necrosis factor,57,MOL000006
